"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",44
Disease,44
"Pathological Conditions, Signs and Symptoms",35
Infections,33
Nervous System Diseases,32
Signs and Symptoms,32
Metabolic Diseases,32
Nutritional and Metabolic Diseases,32
Immune System Diseases,31
Pathologic Processes,30
Skin and Connective Tissue Diseases,30
Neurologic Manifestations,27
Pain,27
Respiratory Tract Diseases,27
"Genetic Diseases, Inborn",25
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",25
Urogenital Diseases,25
Respiratory Tract Infections,24
Fever,24
Female Urogenital Diseases and Pregnancy Complications,24
Female Urogenital Diseases,24
Body Temperature Changes,24
"Metabolism, Inborn Errors",23
Endocrine System Diseases,23
Autoimmune Diseases,21
Musculoskeletal Diseases,21
Inflammation,21
"Hypersensitivity, Immediate",19
Genital Diseases,19
Respiratory Hypersensitivity,19
Connective Tissue Diseases,19
Hypersensitivity,19
Nose Diseases,18
Rheumatic Diseases,18
Otorhinolaryngologic Diseases,18
Virus Diseases,18
RNA Virus Infections,18
Central Nervous System Diseases,17
Joint Diseases,17
Arthritis,17
Rhinitis,17
"Rhinitis, Allergic",17
"Rhinitis, Allergic, Perennial",17
Brain Diseases,16
Bone Diseases,16
Picornaviridae Infections,16
Common Cold,16
Osteoarthritis,15
Lung Diseases,15
Vascular Diseases,15
Gout,15
Hemorrhage,15
Crystal Arthropathies,15
"Purine-Pyrimidine Metabolism, Inborn Errors",15
Skin Diseases,15
Cardiovascular Diseases,15
"Arthritis, Rheumatoid",15
Menstruation Disturbances,14
Diabetes Mellitus,14
Glucose Metabolism Disorders,14
Hematologic Diseases,13
Spondylarthritis,13
Ankylosis,13
Uterine Diseases,13
"Lung Diseases, Obstructive",13
Menorrhagia,13
Uterine Hemorrhage,13
"Bone Diseases, Infectious",13
Respiration Disorders,13
"Spondylitis, Ankylosing",13
Spondylitis,13
Hemic and Lymphatic Diseases,13
Spinal Diseases,13
Bronchial Diseases,13
"Genital Diseases, Female",13
Spondylarthropathies,13
Axial Spondyloarthritis,13
Bursitis,13
Male Urogenital Diseases,13
Mental Disorders,13
"Signs and Symptoms, Respiratory",13
Malnutrition,12
Asthma,12
Deficiency Diseases,12
Cough,12
Nutrition Disorders,12
Avitaminosis,12
Urologic Diseases,11
Dysmenorrhea,11
Bacterial Infections and Mycoses,11
Neoplasms,11
Pelvic Pain,11
Postoperative Complications,11
Hemorrhagic Disorders,11
"Arthritis, Juvenile",11
Bacterial Infections,11
"Pain, Postoperative",11
Paranasal Sinus Diseases,10
Wounds and Injuries,10
Sinusitis,10
Neoplasms by Site,10
Diabetes Complications,10
Premenstrual Syndrome,10
Gram-Positive Bacterial Infections,9
"Amino Acid Metabolism, Inborn Errors",9
Hemostatic Disorders,9
"Wounds, Penetrating",9
Ascorbic Acid Deficiency,9
Scurvy,9
Tyrosinemias,9
"Brain Diseases, Metabolic",9
Methemoglobinemia,9
Digestive System Diseases,9
Kidney Diseases,9
"Brain Diseases, Metabolic, Inborn",9
Gastrointestinal Diseases,8
Streptococcal Infections,8
Stomatognathic Diseases,8
Peripheral Nervous System Diseases,8
Chemically-Induced Disorders,8
Neuromuscular Diseases,8
Hyperlipidemias,8
Lipid Metabolism Disorders,8
Dyslipidemias,8
Disease Attributes,8
Hypertriglyceridemia,8
Gastroenteritis,7
Bronchial Spasm,7
Intestinal Diseases,7
Mood Disorders,7
Poisoning,7
Dermatitis,7
Alcohol-Related Disorders,7
"Signs and Symptoms, Digestive",7
Vitamin B Deficiency,7
Inflammatory Bowel Diseases,7
Substance-Related Disorders,7
Hypercholesterolemia,7
"Sleep Disorders, Intrinsic",6
Neurotoxicity Syndromes,6
Heart Diseases,6
Communicable Diseases,6
Leukoencephalopathies,6
Alcoholic Neuropathy,6
Polyneuropathies,6
Sexually Transmitted Diseases,6
Diabetic Neuropathies,6
"Demyelinating Autoimmune Diseases, CNS",6
"Diabetes Mellitus, Type 2",6
Thyroid Diseases,6
"Alcohol-Induced Disorders, Nervous System",6
Demyelinating Diseases,6
Dyssomnias,6
Hiccup,6
Gram-Negative Bacterial Infections,6
Multiple Sclerosis,6
Movement Disorders,6
Sleep Wake Disorders,6
Anemia,6
Autoimmune Diseases of the Nervous System,6
Alcohol-Induced Disorders,6
Actinomycetales Infections,5
Gonadal Disorders,5
"Anemia, Megaloblastic",5
Mycobacterium Infections,5
Chronic Disease,5
Headache,5
Heart Failure,5
Hypertension,5
Thyroiditis,5
Calcium Metabolism Disorders,5
"Anemia, Macrocytic",5
"Anemia, Pernicious",5
Vitamin B 12 Deficiency,5
Endocrine Gland Neoplasms,5
Pharyngeal Diseases,5
Myocardial Ischemia,5
Eye Diseases,5
Psoriasis,4
Staphylococcal Infections,4
"Anemia, Hemolytic",4
Dementia,4
Otitis,4
Otitis Media,4
Pasteurellaceae Infections,4
Drug-Related Side Effects and Adverse Reactions,4
Ear Diseases,4
"Skin Diseases, Infectious",4
Haemophilus Infections,4
Ventricular Dysfunction,4
Pellagra,4
Necrosis,4
Rheumatic Fever,4
Diabetic Nephropathies,4
Renal Insufficiency,4
Sleep Initiation and Maintenance Disorders,4
Ischemia,4
Beriberi,4
Infarction,4
"Skin Diseases, Vascular",4
Mycoplasma Infections,4
Myocardial Infarction,4
Anxiety Disorders,4
Urticaria,4
Neurodegenerative Diseases,4
Wernicke Encephalopathy,4
Thiamine Deficiency,4
Peripheral Vascular Diseases,4
Neurocognitive Disorders,4
Vitamin B 6 Deficiency,4
"Ventricular Dysfunction, Left",4
Riboflavin Deficiency,4
Pharyngitis,4
Pneumonia,4
"Skin Diseases, Papulosquamous",4
"Sexually Transmitted Diseases, Bacterial",4
Depressive Disorder,4
"Pneumonia, Bacterial",4
Conjunctival Diseases,4
Chlamydia Infections,4
Chlamydiaceae Infections,4
Hyperthyroidism,4
Mycoplasmatales Infections,4
Bronchitis,4
Goiter,4
Thyrotoxicosis,4
Urethritis,3
